@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
16,'1313,41',4,400,62,M,28,48,0
13,'866,46',1,200,73,K,196,48,0
11,2800,4,400,54,K,60,48,0
11,2470,1,'495,15',38,M,67,48,0
11,2000,0,600,46,M,52,48,0
13,1503,0,350,61,M,166,48,0
12,1100,4,'235,97',65,M,23,36,0
13,2120,4,600,68,K,119,48,0
13,1200,4,500,70,K,119,48,0
13,'1013,74',4,460,65,K,114,48,0
11,1500,3,400,58,K,86,48,0
17,'547,89',1,350,56,K,57,48,0
13,1031,0,300,66,K,122,48,0
13,930,5,700,65,K,131,48,0
12,'2673,17',4,600,51,M,112,48,0
13,930,1,670,63,K,94,48,0
13,714,5,400,62,K,223,48,0
13,840,2,400,64,K,114,48,0
11,2700,4,'423,23',31,M,16,48,0
12,1350,4,200,55,K,23,25,0
12,'1009,34',3,300,55,K,30,48,1996
13,1611,2,200,65,M,142,48,0
11,2500,0,500,49,K,234,48,0
12,1300,4,600,29,M,28,42,0
17,'798,8',4,300,54,M,150,48,1996
13,1000,1,300,70,K,65,48,0
12,1042,1,300,49,M,6,12,0
12,1027,4,300,39,K,9,48,0
11,3000,4,250,45,K,94,48,0
12,1200,4,300,35,K,9,15,0
13,'1137,19',4,400,66,K,97,48,0
13,1027,0,300,68,K,193,48,0
13,'802,83',4,200,65,K,202,48,0
13,1239,4,400,77,K,271,48,0
13,'720,19',2,200,67,K,94,48,0
11,'2250,05',2,500,61,M,177,48,0
12,600,5,400,47,M,10,28,0
11,3300,1,300,44,M,237,48,0
13,1150,0,300,75,M,139,48,0
13,1189,4,'265,58',62,K,70,48,0
12,'1574,45',3,'417,8',47,M,32,36,0
11,1320,4,500,53,M,343,48,0
11,3170,4,400,47,K,286,48,0
11,'1261,98',4,'357,31',40,M,37,48,0
16,837,3,350,61,M,232,48,0
17,684,4,900,58,K,190,48,0
11,3200,4,'606,35',52,M,190,48,0
13,'1474,55',3,400,62,K,66,48,0
13,951,4,500,73,K,163,48,0
12,660,4,400,40,K,12,38,0
16,'1045,6',5,400,54,K,13,48,0
12,1675,4,600,54,K,10,12,0
16,1600,0,200,63,K,24,48,0
11,1800,4,300,33,M,166,48,0
12,1400,3,300,25,M,13,33,0
13,'1817,24',3,400,57,K,19,48,0
16,1740,1,200,53,K,114,48,0
13,640,1,500,72,K,139,48,0
13,965,4,200,75,K,246,48,0
11,1800,0,600,39,K,52,48,0
13,1212,4,500,60,K,54,48,0
13,1684,4,'367,31',61,K,20,48,0
13,2010,0,'407,1',64,M,138,48,0
11,'2065,98',4,327,52,K,180,48,0
13,1000,4,500,60,K,68,48,0
11,2927,3,'449,33',38,K,202,48,0
11,1400,0,200,23,M,25,48,0
11,1600,4,'496,83',31,K,15,48,0
16,'959,6',4,200,69,K,116,48,0
13,1170,3,400,61,K,79,48,0
11,'1172,2',4,200,56,K,38,48,0
16,892,3,'321,21',65,K,201,48,0
17,'864,6',0,250,54,K,3,8,0
13,1130,4,300,62,K,104,48,0
12,'990,34',3,200,46,K,56,48,0
12,1050,3,'286,94',52,K,34,36,0
13,997,4,300,61,K,80,48,0
13,'1428,55',4,200,66,K,138,48,0
11,1900,0,'693,7',38,K,208,48,0
13,1300,1,300,77,K,194,48,0
13,730,3,200,72,K,561,48,0
13,1217,1,600,65,M,51,48,0
11,2470,5,'426,61',49,K,355,48,0
99,598,1,200,52,K,3,7,0
11,1700,4,300,54,M,40,48,0
16,1589,0,400,58,K,27,48,0
13,1530,0,500,57,K,25,48,0
11,4000,5,400,53,M,11,48,0
17,985,5,200,20,M,14,18,0
13,'729,03',5,500,70,K,258,48,0
13,611,3,300,57,K,140,48,0
11,3000,5,300,60,M,213,48,0
11,1290,4,600,32,K,20,48,0
13,1014,0,'297,69',63,K,184,48,0
12,'830,46',3,600,47,K,46,48,0
16,1132,1,300,64,K,98,48,0
13,616,4,200,75,K,247,48,0
12,'952,89',0,300,21,M,23,27,0
